04/13/1980, 04/13/1980, Sunday 31st of May 2009, 04:05:12, 07/01/2039 07:18:31 AM, Sep 76' was Sunday,
11/29/1996, 11/29/1996, Sunday 21st of July 1996, 23:46:31, 12/20/2018 12:54:00 PM, Sep 38' was Saturday,
02/11/2029, 02/11/2029, Thursday 20th of October 2011, 07:09:41, 07/08/1996 10:25:01 PM, Jul 15' was Monday,
10/10/2024, 10/10/2024, Monday 18th of January 1988, 05:35:33, 10/23/1986 01:30:39 AM, Nov 26' was Monday,
08/20/2035, 08/20/2035, Thursday 14th of June 1973, 02:52:33, 10/18/1978 01:43:15 AM, Nov 34' was Wednesday,
07/22/2034, 07/22/2034, Friday 20th of November 2009, 17:42:00, 08/29/1985 08:28:03 PM, Apr 12' was Thursday,
10/06/2011, 10/06/2011, Monday 20th of May 2019, 10:50:33, 09/16/2015 11:12:23 AM, Oct 32' was Friday,
05/13/2016, 05/13/2016, Saturday 24th of August 2030, 17:16:44, 06/30/2015 10:35:47 PM, Jul 44' was Tuesday,
05/31/2037, 05/31/2037, Thursday 22nd of November 1979, 04:15:05, 04/18/1976 12:50:40 AM, May 74' was Wednesday,
12/14/2024, 12/14/2024, Tuesday 24th of November 2009, 22:06:42, 11/21/1990 10:33:14 AM, Jun 23' was Wednesday,
07/29/1992, 07/29/1992, Tuesday 18th of January 1983, 03:59:50, 01/07/1978 09:35:38 AM, Feb 95' was Saturday,
02/13/1973, 02/13/1973, Wednesday 7th of January 2004, 02:58:52, 04/15/2028 06:12:09 AM, Nov 26' was Monday,
01/05/2020, 01/05/2020, Wednesday 18th of February 2004, 17:58:11, 03/23/2004 02:59:24 PM, Oct 40' was Friday,
10/03/2006, 10/03/2006, Tuesday 2nd of February 1988, 18:58:07, 11/25/2039 11:27:53 AM, Nov 70' was Friday,
02/07/1991, 02/07/1991, Friday 28th of June 1974, 22:34:47, 05/02/2019 11:51:50 AM, Jun 91' was Thursday,
03/07/2037, 03/07/2037, Monday 17th of July 2023, 20:07:07, 03/05/2047 09:22:26 AM, Dec 11' was Saturday,
08/06/1970, 08/06/1970, Friday 8th of November 2024, 19:51:48, 03/09/1983 05:28:57 PM, Sep 24' was Wednesday,
01/20/1994, 01/20/1994, Tuesday 19th of March 1985, 04:25:16, 09/12/2025 09:31:26 PM, Dec 82' was Thursday,
01/16/2015, 01/16/2015, Friday 21st of October 1983, 07:09:32, 05/03/1987 01:48:00 PM, Mar 15' was Monday,
12/27/1989, 12/27/1989, Wednesday 24th of August 1994, 22:48:29, 04/12/2012 09:52:20 AM, Jun 18' was Saturday,
03/07/2047, 03/07/2047, Wednesday 3rd of April 1974, 22:17:27, 02/10/2019 04:27:47 PM, Apr 89' was Thursday,
07/16/2004, 07/16/2004, Sunday 2nd of May 2049, 18:58:40, 04/28/1992 07:23:54 PM, Jan 35' was Tuesday,
04/05/1973, 04/05/1973, Tuesday 7th of July 1970, 23:53:03, 08/19/2006 10:59:04 PM, May 29' was Tuesday,
09/30/2000, 09/30/2000, Tuesday 7th of August 1984, 03:35:08, 12/23/2034 01:33:13 PM, Aug 49' was Wednesday,
05/23/2011, 05/23/2011, Saturday 16th of November 2013, 10:23:01, 02/20/1989 02:30:22 AM, Jun 98' was Monday,
07/31/2036, 07/31/2036, Tuesday 30th of August 1988, 23:28:41, 03/03/2031 07:13:33 PM, Mar 75' was Monday,
09/07/1978, 09/07/1978, Tuesday 17th of August 1993, 09:28:31, 06/01/2021 12:54:41 PM, Mar 00' was Tuesday,
06/05/1982, 06/05/1982, Saturday 2nd of May 2015, 04:56:05, 02/19/2018 02:07:35 AM, Mar 35' was Saturday,
01/27/2005, 01/27/2005, Thursday 3rd of September 1981, 19:16:07, 03/26/2005 05:56:48 PM, Jun 26' was Thursday,
11/30/2037, 11/30/2037, Wednesday 28th of May 1997, 02:00:03, 01/31/1991 09:48:30 AM, Mar 15' was Tuesday,
06/29/2048, 06/29/2048, Friday 16th of June 1978, 04:27:16, 07/28/2024 04:48:06 AM, Dec 29' was Monday,
01/26/2000, 01/26/2000, Friday 18th of May 1973, 07:01:56, 02/17/2011 02:46:25 PM, Nov 91' was Tuesday,
02/21/2044, 02/21/2044, Thursday 29th of October 2026, 16:54:05, 09/30/2000 12:02:55 AM, Nov 44' was Friday,
05/14/2035, 05/14/2035, Monday 6th of February 2017, 08:56:07, 05/13/2010 10:42:39 PM, Nov 07' was Monday,
03/31/1972, 03/31/1972, Thursday 12th of July 2040, 15:10:41, 02/17/1982 10:38:13 AM, Nov 07' was Friday,
01/11/1976, 01/11/1976, Sunday 14th of July 2024, 03:19:29, 04/30/2042 06:04:45 AM, Aug 08' was Sunday,
07/09/2030, 07/09/2030, Friday 7th of October 2050, 16:44:05, 01/08/2029 11:44:12 AM, Oct 77' was Friday,
02/01/1991, 02/01/1991, Saturday 17th of June 1995, 22:12:23, 02/09/2011 12:29:37 PM, Nov 25' was Saturday,
02/26/2016, 02/26/2016, Sunday 18th of November 1990, 13:12:45, 12/27/2046 05:52:31 PM, Feb 43' was Tuesday,
06/26/2024, 06/26/2024, Wednesday 23rd of April 2008, 16:02:03, 10/07/2007 07:20:00 AM, Dec 34' was Saturday,
03/22/1988, 03/22/1988, Wednesday 11th of March 1992, 09:50:01, 06/23/2048 06:11:28 PM, Jan 99' was Sunday,
08/24/2006, 08/24/2006, Monday 25th of June 1979, 05:55:18, 06/11/1993 11:30:42 PM, Nov 73' was Monday,
06/18/1996, 06/18/1996, Monday 19th of December 1983, 01:52:54, 10/24/2043 11:59:23 PM, Feb 82' was Thursday,
03/24/1976, 03/24/1976, Saturday 8th of June 2024, 23:13:52, 10/30/2019 04:46:45 AM, Oct 45' was Tuesday,
06/21/1975, 06/21/1975, Tuesday 9th of January 2029, 23:59:56, 01/24/2025 09:11:13 PM, Jul 06' was Monday,
06/08/2025, 06/08/2025, Sunday 19th of November 2023, 20:58:38, 07/06/1973 06:55:35 AM, May 79' was Tuesday,
07/07/1978, 07/07/1978, Sunday 22nd of May 2039, 14:44:58, 09/02/2008 02:32:59 AM, Aug 41' was Tuesday,
09/30/2015, 09/30/2015, Sunday 9th of February 1975, 05:56:44, 04/20/1984 05:59:06 AM, Jan 39' was Wednesday,
07/23/2021, 07/23/2021, Thursday 28th of November 2002, 04:35:31, 11/14/2037 12:27:48 AM, Jun 15' was Wednesday,
02/13/1978, 02/13/1978, Saturday 25th of October 2014, 08:04:47, 01/22/2031 07:20:05 AM, Nov 85' was Thursday,
11/22/1985, 11/22/1985, Saturday 18th of March 2006, 16:18:39, 03/13/1999 02:59:10 PM, Aug 91' was Friday,
04/08/2038, 04/08/2038, Tuesday 1st of September 2037, 14:59:56, 02/06/2018 04:48:12 AM, Aug 14' was Monday,
06/28/2031, 06/28/2031, Sunday 24th of January 1988, 08:59:50, 01/05/1990 06:26:57 PM, Feb 01' was Saturday,
09/11/1970, 09/11/1970, Tuesday 3rd of November 1987, 23:05:39, 09/27/2020 04:20:11 PM, Jul 38' was Tuesday,
12/15/2008, 12/15/2008, Saturday 14th of September 2019, 04:44:34, 10/08/2011 07:53:55 AM, Apr 74' was Sunday,
06/30/1992, 06/30/1992, Sunday 25th of January 1981, 05:37:50, 04/07/2007 06:04:12 AM, Sep 05' was Monday,
08/04/1984, 08/04/1984, Saturday 16th of July 1994, 06:36:36, 08/26/1988 05:51:35 AM, Jun 02' was Saturday,
12/26/2030, 12/26/2030, Saturday 10th of December 1977, 19:18:40, 03/28/1983 03:52:00 PM, Jun 23' was Monday,
10/25/1972, 10/25/1972, Friday 23rd of February 1973, 03:23:33, 03/11/2004 02:08:53 AM, Nov 83' was Wednesday,
06/28/2024, 06/28/2024, Friday 13th of February 2043, 04:51:49, 04/13/2018 10:33:51 AM, May 01' was Thursday,
04/09/2029, 04/09/2029, Wednesday 3rd of March 1976, 20:04:07, 09/20/2004 07:23:22 PM, May 93' was Wednesday,
04/11/2017, 04/11/2017, Sunday 11th of June 2028, 12:11:00, 08/31/2038 04:16:17 AM, Jan 07' was Wednesday,
11/26/2050, 11/26/2050, Wednesday 8th of October 2025, 17:03:50, 04/03/2047 08:22:41 PM, Jan 35' was Monday,
06/28/2005, 06/28/2005, Monday 23rd of April 2046, 23:41:01, 10/25/1980 09:40:49 AM, Feb 39' was Thursday,
01/22/2045, 01/22/2045, Sunday 5th of July 2020, 13:37:57, 06/07/2026 08:59:06 AM, Jun 20' was Monday,
04/13/1978, 04/13/1978, Monday 31st of December 2001, 09:10:56, 07/25/1980 04:53:36 AM, Jun 96' was Monday,
05/14/2049, 05/14/2049, Sunday 28th of March 1971, 03:22:11, 07/14/2026 12:41:15 AM, Feb 83' was Saturday,
12/19/2005, 12/19/2005, Sunday 28th of November 1982, 07:37:06, 12/05/1970 02:46:53 PM, Oct 20' was Friday,
11/28/1983, 11/28/1983, Monday 15th of August 2022, 20:21:03, 10/20/2050 01:31:48 PM, May 12' was Tuesday,
03/01/2018, 03/01/2018, Friday 19th of January 2007, 10:33:34, 07/05/2048 11:43:49 AM, Jun 17' was Friday,
04/16/2034, 04/16/2034, Tuesday 31st of January 2006, 02:32:33, 06/07/2011 03:26:27 PM, Sep 89' was Friday,
10/21/1979, 10/21/1979, Thursday 21st of December 2000, 22:07:13, 06/06/2033 01:46:51 AM, Apr 48' was Friday,
12/21/2044, 12/21/2044, Wednesday 24th of February 2027, 02:20:15, 07/04/2006 01:49:43 AM, Jul 15' was Wednesday,
02/14/1998, 02/14/1998, Sunday 6th of November 2033, 17:55:47, 11/22/1978 10:54:35 AM, Jan 70' was Saturday,
11/27/1982, 11/27/1982, Wednesday 9th of April 1975, 04:19:53, 01/21/2050 05:40:44 AM, Mar 37' was Saturday,
06/18/1990, 06/18/1990, Monday 2nd of June 1997, 08:33:13, 09/20/2005 06:03:22 PM, Nov 35' was Thursday,
05/11/2021, 05/11/2021, Friday 14th of November 2008, 22:16:12, 11/22/2040 06:28:32 AM, Dec 83' was Friday,
01/18/2007, 01/18/2007, Sunday 22nd of September 2024, 05:52:06, 08/09/2000 10:18:19 PM, Aug 38' was Monday,
08/23/1974, 08/23/1974, Monday 8th of January 1979, 13:42:10, 03/28/2027 03:42:38 AM, Apr 91' was Saturday,
08/28/1979, 08/28/1979, Thursday 3rd of September 1970, 14:38:19, 06/10/2025 07:19:47 AM, Oct 87' was Sunday,
12/22/2028, 12/22/2028, Thursday 12th of February 2032, 17:58:32, 04/14/2022 12:36:34 AM, Jan 81' was Saturday,
08/26/2027, 08/26/2027, Tuesday 15th of August 2034, 13:04:52, 07/05/2016 08:06:37 AM, Jun 98' was Thursday,
04/03/1977, 04/03/1977, Saturday 27th of December 2025, 04:23:17, 04/05/1970 07:42:14 AM, Nov 88' was Tuesday,
08/28/2017, 08/28/2017, Wednesday 18th of February 1998, 15:05:54, 08/24/1987 11:43:07 PM, Jul 16' was Wednesday,
10/02/1992, 10/02/1992, Thursday 1st of October 1992, 10:45:23, 06/23/1985 07:31:06 PM, Feb 78' was Friday,
02/24/1971, 02/24/1971, Tuesday 6th of June 2017, 01:21:48, 04/19/2032 10:12:20 PM, May 83' was Friday,
09/27/2003, 09/27/2003, Wednesday 10th of July 1974, 17:31:10, 02/21/2040 08:31:57 PM, Jul 17' was Wednesday,
10/28/2035, 10/28/2035, Thursday 27th of July 2045, 23:17:58, 08/18/2032 09:07:28 PM, Mar 78' was Thursday,
04/05/1996, 04/05/1996, Tuesday 27th of February 1973, 08:40:17, 04/07/1974 02:36:52 PM, Nov 33' was Monday,
12/20/2007, 12/20/2007, Sunday 28th of July 2047, 22:37:21, 09/27/2031 11:20:41 AM, Apr 98' was Sunday,
01/21/2023, 01/21/2023, Wednesday 17th of February 2016, 20:55:34, 04/13/1984 06:06:29 AM, Mar 11' was Tuesday,
02/24/2040, 02/24/2040, Saturday 3rd of May 2031, 12:39:02, 08/29/1992 03:13:32 PM, May 88' was Thursday,
08/08/1988, 08/08/1988, Friday 21st of August 1970, 13:12:20, 04/21/2019 01:59:11 PM, Oct 46' was Thursday,
04/29/2027, 04/29/2027, Thursday 9th of January 2042, 19:45:56, 06/29/2013 11:07:26 PM, Apr 09' was Monday,
07/12/2046, 07/12/2046, Monday 31st of May 2027, 11:11:56, 03/28/1980 10:33:43 AM, Sep 01' was Friday,
09/23/2013, 09/23/2013, Tuesday 1st of December 1987, 11:27:24, 06/12/2004 05:01:33 AM, Aug 07' was Tuesday,
08/12/1982, 08/12/1982, Wednesday 15th of June 1994, 16:45:26, 07/18/1977 02:49:57 AM, Aug 98' was Monday,
03/24/2019, 03/24/2019, Friday 28th of April 2006, 20:05:23, 03/07/2001 08:12:44 AM, Oct 76' was Saturday,
10/03/2024, 10/03/2024, Friday 5th of March 1971, 15:15:58, 04/26/2023 07:59:41 PM, Oct 06' was Thursday,
06/11/1986, 06/11/1986, Friday 5th of December 1980, 15:45:28, 05/16/2019 12:49:05 PM, Apr 28' was Sunday,
12/01/2006, 12/01/2006, Wednesday 28th of September 1983, 00:48:53, 03/20/2000 04:51:43 AM, Sep 79' was Tuesday,
09/28/2002, 09/28/2002, Saturday 19th of August 2028, 04:24:56, 06/30/1989 10:03:06 AM, Dec 07' was Monday,
12/16/2041, 12/16/2041, Tuesday 25th of November 2008, 00:18:57, 02/27/1990 09:29:22 AM, Nov 95' was Friday,
04/06/1978, 04/06/1978, Wednesday 29th of July 2048, 08:52:33, 03/08/1982 06:02:39 PM, Nov 04' was Tuesday,
11/26/2004, 11/26/2004, Thursday 31st of August 1972, 08:47:04, 05/26/2022 10:30:17 AM, Feb 01' was Saturday,
05/28/2036, 05/28/2036, Tuesday 28th of December 1982, 00:30:19, 10/30/1994 05:20:29 PM, Jun 95' was Saturday,
02/17/2049, 02/17/2049, Sunday 25th of January 2032, 21:06:00, 09/20/1974 12:34:27 PM, Jun 39' was Friday,
07/23/2050, 07/23/2050, Thursday 16th of January 2031, 02:35:33, 07/17/2014 09:10:36 PM, Sep 98' was Saturday,
07/07/2045, 07/07/2045, Thursday 12th of February 2043, 21:05:55, 10/13/1979 05:44:49 AM, Nov 95' was Thursday,
08/25/2031, 08/25/2031, Monday 16th of April 2040, 05:41:28, 10/04/1985 10:18:34 AM, May 06' was Sunday,
04/13/2024, 04/13/2024, Wednesday 1st of May 2047, 16:11:50, 09/15/2002 09:41:56 PM, Dec 94' was Wednesday,
05/28/2041, 05/28/2041, Tuesday 18th of March 1997, 12:55:21, 03/12/1979 06:33:15 AM, Mar 90' was Tuesday,
10/13/2017, 10/13/2017, Tuesday 20th of June 2034, 15:39:21, 11/04/2038 05:41:41 AM, Nov 29' was Wednesday,
06/17/2035, 06/17/2035, Sunday 29th of October 2017, 17:41:21, 02/12/2034 05:35:46 PM, Oct 93' was Thursday,
09/28/2049, 09/28/2049, Wednesday 25th of July 1973, 18:26:56, 05/03/2032 12:59:44 AM, Feb 99' was Thursday,
02/08/1991, 02/08/1991, Sunday 22nd of June 2014, 09:44:45, 03/19/2018 03:27:42 PM, Jun 48' was Saturday,
06/05/2004, 06/05/2004, Sunday 25th of January 2043, 18:34:24, 07/01/1970 09:19:02 PM, Jan 13' was Thursday,
04/30/2002, 04/30/2002, Tuesday 30th of November 2027, 14:34:50, 06/12/1988 02:31:32 PM, May 34' was Saturday,
10/25/2041, 10/25/2041, Wednesday 8th of February 1995, 12:54:26, 01/10/2027 02:10:51 AM, Oct 30' was Wednesday,
01/28/2028, 01/28/2028, Saturday 3rd of July 1999, 23:18:16, 11/16/1988 03:56:00 PM, Nov 92' was Monday,
09/14/2023, 09/14/2023, Tuesday 2nd of August 1977, 05:21:08, 04/23/2050 03:15:57 AM, Nov 49' was Tuesday,
12/18/2027, 12/18/2027, Sunday 29th of January 2006, 02:36:27, 03/10/2036 07:11:41 AM, Oct 38' was Thursday,
09/01/2002, 09/01/2002, Friday 30th of June 2028, 08:25:51, 02/10/2010 07:40:53 AM, Dec 26' was Saturday,
05/13/2039, 05/13/2039, Saturday 4th of September 1971, 02:30:26, 10/19/2004 06:37:39 PM, Nov 03' was Saturday,
10/18/2038, 10/18/2038, Saturday 21st of August 2004, 03:38:52, 10/14/2014 08:05:23 PM, Oct 19' was Saturday,
12/08/1976, 12/08/1976, Wednesday 22nd of July 2015, 18:27:02, 07/27/2039 11:13:09 AM, May 15' was Sunday,
03/03/2011, 03/03/2011, Friday 9th of June 1978, 06:32:38, 08/26/2024 01:43:33 AM, Jun 80' was Thursday,
11/17/1982, 11/17/1982, Wednesday 7th of October 2037, 12:49:53, 05/22/1974 03:32:16 AM, Aug 04' was Thursday,
03/14/1978, 03/14/1978, Sunday 19th of August 2001, 16:49:30, 12/18/2020 04:23:31 AM, Aug 92' was Tuesday,
07/04/1992, 07/04/1992, Thursday 19th of January 1995, 09:35:30, 11/09/1975 10:14:12 AM, May 78' was Tuesday,
10/02/2031, 10/02/2031, Sunday 21st of April 2041, 04:04:17, 11/13/1990 03:41:28 AM, Feb 32' was Friday,
06/26/2006, 06/26/2006, Sunday 6th of November 1983, 20:40:07, 11/16/2041 05:20:17 AM, Feb 85' was Sunday,
05/25/2045, 05/25/2045, Thursday 22nd of March 1979, 15:36:17, 01/18/1976 02:27:18 AM, Nov 76' was Saturday,
06/17/2018, 06/17/2018, Monday 24th of December 2035, 06:12:01, 08/18/2019 05:23:12 PM, May 12' was Tuesday,
06/05/2015, 06/05/2015, Saturday 9th of June 1979, 19:14:43, 07/28/1997 06:04:37 PM, Sep 91' was Thursday,
07/14/1982, 07/14/1982, Monday 20th of July 1992, 19:18:05, 06/13/1989 02:08:51 PM, May 81' was Sunday,
12/02/1987, 12/02/1987, Tuesday 24th of August 2010, 23:43:11, 06/22/1994 06:31:24 PM, Dec 78' was Sunday,
10/08/2018, 10/08/2018, Friday 14th of October 2050, 02:53:14, 10/26/2042 12:01:08 AM, Jun 92' was Friday,
09/02/2017, 09/02/2017, Wednesday 31st of October 1973, 07:09:24, 09/01/2039 01:37:47 AM, Jan 31' was Tuesday,
06/07/2004, 06/07/2004, Tuesday 29th of January 1974, 18:28:00, 10/18/2002 01:07:11 PM, Dec 43' was Monday,
12/15/2048, 12/15/2048, Wednesday 13th of August 2036, 21:14:42, 07/15/2018 02:39:25 AM, Nov 16' was Tuesday,
12/13/2025, 12/13/2025, Thursday 27th of March 2031, 03:21:58, 07/06/2002 04:32:57 PM, Jan 80' was Friday,
05/30/2021, 05/30/2021, Friday 21st of December 2046, 21:42:20, 11/16/1984 02:24:39 PM, Jan 38' was Monday,
11/24/2045, 11/24/2045, Wednesday 20th of January 1971, 10:44:25, 03/30/2035 11:09:07 AM, Dec 23' was Wednesday,
10/27/2038, 10/27/2038, Thursday 3rd of November 2005, 20:46:44, 11/30/1972 02:01:35 AM, Sep 92' was Monday,
03/26/1982, 03/26/1982, Saturday 16th of April 2022, 12:18:18, 01/19/1970 06:55:01 AM, Feb 50' was Wednesday,
09/09/2038, 09/09/2038, Sunday 16th of January 2022, 18:04:47, 07/22/2000 05:56:00 PM, Oct 15' was Wednesday,
04/04/2036, 04/04/2036, Tuesday 3rd of May 2022, 05:55:57, 01/21/1972 07:53:07 PM, Dec 49' was Sunday,
11/24/2000, 11/24/2000, Thursday 7th of January 1988, 17:00:28, 02/20/1972 12:33:30 AM, Dec 70' was Tuesday,
12/27/2017, 12/27/2017, Friday 25th of February 2033, 04:00:05, 01/10/1973 03:10:47 PM, Mar 88' was Friday,
06/27/2045, 06/27/2045, Sunday 20th of July 2003, 03:22:30, 01/26/1984 08:02:47 PM, Aug 01' was Friday,
06/03/2029, 06/03/2029, Saturday 1st of October 1977, 09:25:37, 03/04/2021 08:57:14 AM, Apr 36' was Tuesday,
05/11/2037, 05/11/2037, Thursday 31st of October 2013, 23:20:21, 06/17/1972 06:46:12 AM, Jul 15' was Tuesday,
02/02/2022, 02/02/2022, Saturday 8th of May 1999, 23:22:38, 04/14/2035 12:19:40 AM, Jun 04' was Sunday,
04/25/1978, 04/25/1978, Wednesday 14th of February 2001, 02:23:59, 05/05/2039 05:34:19 AM, Dec 34' was Thursday,
09/08/1977, 09/08/1977, Thursday 14th of June 2012, 06:16:07, 02/23/2049 10:18:38 PM, Oct 97' was Monday,
05/01/2040, 05/01/2040, Monday 23rd of July 1979, 14:13:42, 11/08/1977 10:14:18 PM, Aug 84' was Sunday,
09/05/1985, 09/05/1985, Saturday 22nd of March 2014, 14:39:24, 04/01/2003 01:48:34 PM, Sep 76' was Sunday,
05/26/2018, 05/26/2018, Sunday 31st of January 1982, 22:05:51, 08/10/1993 01:14:35 PM, Jul 39' was Wednesday,
03/21/2005, 03/21/2005, Saturday 23rd of May 1992, 17:00:02, 02/25/2021 08:57:43 AM, Jan 99' was Sunday,
04/27/1979, 04/27/1979, Thursday 20th of May 2021, 01:35:25, 02/18/2013 07:39:20 AM, Apr 91' was Tuesday,
10/07/1972, 10/07/1972, Friday 12th of September 2008, 11:05:43, 11/08/2019 04:23:09 AM, Dec 03' was Monday,
12/09/2022, 12/09/2022, Wednesday 11th of September 2030, 21:05:53, 09/22/2044 10:32:58 PM, Apr 99' was Saturday,
09/26/1994, 09/26/1994, Thursday 21st of June 2035, 12:45:59, 02/23/2014 11:10:09 AM, Apr 04' was Saturday,
11/18/2017, 11/18/2017, Monday 10th of December 1990, 07:33:20, 10/13/2004 12:02:49 PM, Dec 82' was Saturday,
08/10/2034, 08/10/2034, Tuesday 3rd of May 2033, 18:53:20, 12/27/2037 06:17:45 PM, Mar 50' was Tuesday,
07/24/2039, 07/24/2039, Friday 3rd of November 1972, 14:59:50, 01/19/2043 02:23:39 AM, Aug 92' was Monday,
11/27/2027, 11/27/2027, Thursday 1st of November 1973, 00:49:35, 03/14/1991 06:20:35 AM, Jun 25' was Thursday,
04/29/2044, 04/29/2044, Tuesday 18th of February 2020, 15:28:08, 01/18/1986 08:47:59 PM, Jul 47' was Saturday,
07/04/2041, 07/04/2041, Tuesday 2nd of December 1980, 13:17:19, 02/28/2039 12:00:26 PM, Jun 29' was Sunday,
08/21/1972, 08/21/1972, Friday 18th of March 2011, 14:42:24, 04/02/2044 09:29:40 AM, Jul 46' was Wednesday,
08/16/1970, 08/16/1970, Thursday 9th of May 1985, 09:16:07, 10/26/2019 11:27:21 AM, Jan 98' was Saturday,
09/23/1985, 09/23/1985, Monday 6th of April 2037, 08:43:39, 01/27/2043 12:44:13 AM, Apr 21' was Sunday,
06/11/2040, 06/11/2040, Friday 13th of May 2033, 04:48:03, 02/14/2039 03:43:42 AM, Feb 08' was Monday,
03/22/2038, 03/22/2038, Saturday 16th of February 2002, 06:35:22, 10/26/2038 10:19:27 PM, Jan 49' was Friday,
03/29/1995, 03/29/1995, Friday 18th of September 1987, 18:34:04, 03/10/2013 10:59:48 AM, Dec 07' was Thursday,
12/06/2042, 12/06/2042, Tuesday 13th of June 1972, 20:43:15, 05/04/2025 03:54:54 PM, Oct 96' was Tuesday,
07/20/2010, 07/20/2010, Monday 28th of December 2009, 14:34:27, 09/27/1990 03:09:26 PM, Feb 37' was Monday,
07/09/2029, 07/09/2029, Thursday 16th of November 1995, 23:50:33, 12/13/2049 06:23:04 PM, Aug 31' was Tuesday,
02/13/2023, 02/13/2023, Wednesday 10th of January 2035, 22:06:08, 08/07/2040 07:49:47 PM, Sep 32' was Monday,
08/07/2035, 08/07/2035, Wednesday 22nd of February 2023, 16:28:16, 01/26/2044 07:11:50 AM, Nov 14' was Sunday,
03/16/2042, 03/16/2042, Wednesday 30th of December 2026, 18:23:48, 08/16/1990 10:38:43 PM, Oct 19' was Saturday,
07/12/1980, 07/12/1980, Saturday 31st of March 2012, 12:24:32, 06/03/1990 06:02:27 AM, Jan 22' was Saturday,
06/22/1995, 06/22/1995, Wednesday 21st of February 2007, 10:03:24, 01/19/1979 03:37:07 AM, Oct 40' was Tuesday,
12/03/1982, 12/03/1982, Sunday 1st of June 1975, 05:26:59, 02/22/1975 09:58:56 AM, Apr 81' was Monday,
06/29/2050, 06/29/2050, Tuesday 8th of November 2011, 05:17:58, 02/20/1991 03:53:09 PM, Feb 34' was Thursday,
07/11/1986, 07/11/1986, Sunday 10th of August 2014, 04:36:32, 08/20/1991 09:37:44 AM, Feb 00' was Tuesday,
12/29/2016, 12/29/2016, Thursday 27th of November 2036, 21:27:29, 07/02/2014 07:15:09 PM, Mar 50' was Sunday,
04/10/2042, 04/10/2042, Friday 10th of January 2025, 08:59:35, 03/08/2012 05:46:55 AM, Jan 90' was Friday,
03/03/2001, 03/03/2001, Thursday 16th of May 2047, 01:58:25, 10/05/2034 11:04:44 PM, Feb 05' was Tuesday,
07/10/1995, 07/10/1995, Thursday 29th of November 1979, 06:29:43, 02/10/2034 01:59:14 AM, Sep 20' was Wednesday,
10/14/2039, 10/14/2039, Saturday 27th of January 2046, 07:30:21, 04/20/2039 05:04:27 AM, Jul 20' was Monday,
10/25/2016, 10/25/2016, Monday 16th of December 2013, 02:43:45, 06/06/1976 12:04:40 PM, Jul 34' was Sunday,
12/07/2029, 12/07/2029, Wednesday 3rd of October 1973, 18:14:33, 03/09/1970 10:38:54 AM, Sep 42' was Sunday,
10/31/1978, 10/31/1978, Friday 17th of April 2037, 03:34:19, 06/02/2033 04:05:49 PM, Oct 50' was Friday,
06/16/1990, 06/16/1990, Sunday 11th of January 2009, 20:23:47, 05/18/2050 06:35:13 PM, Aug 73' was Saturday,
06/03/1973, 06/03/1973, Friday 22nd of August 1975, 04:32:43, 03/04/2036 03:15:13 PM, Sep 44' was Thursday,
05/27/1994, 05/27/1994, Tuesday 18th of May 2021, 23:58:08, 10/30/2037 12:38:05 AM, Jun 00' was Wednesday,
11/24/1988, 11/24/1988, Wednesday 5th of February 1975, 20:57:15, 08/20/1979 12:00:40 AM, May 70' was Saturday,
02/14/1971, 02/14/1971, Monday 26th of February 2029, 09:14:07, 12/16/2034 05:55:21 PM, Nov 39' was Tuesday